ticker,date,stage,drug
PRTA,06/30/2018,Phase 2b,NEOD001 PRONTO
PSTI,06/30/2018,Phase 2,PLX-PAD (stem cells)
RNN,06/30/2018,Phase 2a,RX-3117 in combination with Abraxane
RXDX,06/30/2018,Phase 1b,RXDX-105
RYTM,06/30/2018,Phase 2,Setmelanotide
RYTM,06/30/2018,Phase 2,Setmelanotide
RYTM,06/30/2018,Phase 2,Setmelanotide
SBBP,06/30/2018,Phase 3,COR-003 (levoketoconazole) - SONICS
SGMO,06/30/2018,Phase 1/2,SB-525 cDNA gene therapy
SGMO,06/30/2018,Phase 1/2,SB-318
SGMO,06/30/2018,Phase 1/2,SB-FIX
SGMO,06/30/2018,Phase 1/2,SB-913 - CHAMPIONS
SNDX,06/30/2018,Phase 1/2,Entinostat plus Keytruda - ENCORE 601
SNDX,06/30/2018,Phase 3,E2112
SNGX,06/30/2018,Phase 3,SGX301 (synthetic hypericin)
SVRA,06/30/2018,Phase 2,Aironite - INDIE
TBPH,06/30/2018,Phase 2a,TD-9855
TCON,06/30/2018,Phase 1/2,TRC253
TCON,06/30/2018,Phase 2,TRC105 and Nexavar
TGTX,06/30/2018,Phase 3,TG-1101 and TGR-1202 - UNITY-CLL study
TNXP,06/30/2018,Phase 3,TNX-102 SL
TOCA,06/30/2018,Phase 2/3,Toca 511 & Toca FC
TPIV,06/30/2018,Phase 2,TPIV200
TSRO,06/30/2018,Phase 1/2,Niraparib and Keytruda (TOPACIO)
URGN,06/30/2018,Phase 3,MitoGel - OLYMPUS
VICL,06/30/2018,Phase 2,VCL-HB01 HSV-2 Therapeutic Vaccine
VKTX,06/30/2018,Phase 2,VK2809
VTGN,06/30/2018,Phase 2,AV-101
ZGNX,06/30/2018,Phase 3,ZX008 - Study 1504
DRRX,07/28/2018,PDUFA,RBP-7000
INSY,07/28/2018,PDUFA,Buprenorphine
ALNY,07/31/2018,Phase 3,Givosiran
BLRX,07/31/2018,Phase 2,BL-8040
BYSI,07/31/2018,Phase 2/3,Plinabulin (Trial 106)
CELG,07/31/2018,Phase 3,Luspatercept - BELIEVE
CELG,07/31/2018,Phase 3,Luspatercept - MEDALIST
EBIO,07/31/2018,Phase 3,Vicinium
FOMX,07/31/2018,Phase 3,FMX103
FOMX,07/31/2018,Phase 3,FMX101 - FX2017-22
GNMX,07/31/2018,Phase 2,AEVI-001 (NFC-1)
GNMX,07/31/2018,Phase 1/2,AEVI-002 (Anti-LIGHT mAb)
LLY,07/31/2018,Phase 3,Ramucirumab
MRTX,07/31/2018,Phase 2,Sitravatinib plus nivolumab
OBSV,07/31/2018,Phase 2b,OBE2109 - EDELWEISS
RDHL,07/31/2018,Phase 3,RHB-104 MAP US
SCYX,07/31/2018,Phase 2,SCY-078 - oral
SNSS,07/31/2018,Phase 1/2,SNS-062
VNDA,07/31/2018,Phase 2,Tradipitant
XLRN,07/31/2018,Phase 3,Luspatercept - MEDALIST
XLRN,07/31/2018,Phase 3,Luspatercept - BELIEVE
REGN,08/11/2018,PDUFA,EYLEA
AKCA,08/30/2018,PDUFA,Volanesorsen - APPROACH
ALXN,08/31/2018,Phase 3,Eculizumab
AGLE,09/30/2018,Phase 1/2,AEB1102
AGTC,09/30/2018,Phase 1/2,rAAV-hRS1
AMRN,09/30/2018,–,Vascepa REDUCE-IT outcomes trial
AQXP,09/30/2018,Phase 3,AQX-1125 LEADERSHIP
FLKS,09/30/2018,Phase 2,FLX-787 - COMMEND US trial
GILD,09/30/2018,Phase 3,F/TAF (Descovy)
HSGX,09/30/2018,Phase 3,NeoCart
RGLS,09/30/2018,Phase 2,RG-012 - HERA
VTL,09/30/2018,Phase 3,VTI-308
CNCE,09/30/2018,Phase 3,AVP-786
LLY,10/10/2018,PDUFA,"Galcanezumab - EVOLVE-1, EVOLVE-2 and REGAIN"
ABBV,12/31/2018,Phase 3,ABT-494 - SELECT-COMPARE
ABBV,12/31/2018,Phase 3,Imbruvica - PHOENIX
ABUS,12/31/2018,Phase 2,"ARB-1467, tenofovir, and pegylated interferon"
ACIU,12/31/2018,Phase 1/2,ACI-24 (anti-Abeta vaccine)
ACRS,12/31/2018,Phase 2,ATI-50001
ACRS,12/31/2018,Phase 2b,A-101
ADVM,12/31/2018,Phase 1/2,ADVM-043
ADXS,12/31/2018,Phase 1/2,ADXS-PSA and Keytruda
AGN,12/31/2018,Phase 2b,Brazikumab
AGN,12/31/2018,Phase 3,Cariprazine
AGN,12/31/2018,Phase 3,ABICIPAR
AKBA,12/31/2018,Phase 3,Vadadustat - TRILO2GY
AKBA,12/31/2018,Phase 2,Vadadustat - FO2RWARD
AKCA,12/31/2018,Phase 2b,AKCEA-APO(a)-LRx
ALDX,12/31/2018,Phase 2b,ADX-102
ALDX,12/31/2018,Phase 3,ADX-102
ALDX,12/31/2018,Phase 2,ADX-102
ALNY,12/31/2018,Phase 1/2,ALN-CC5 (cemdisiran)
ALXN,12/31/2018,Phase 1/2,ALXN1210
ARGS,12/31/2018,Phase 2,ARGX-113
ARGX,12/31/2018,Phase 2,ARGX-113
ATNX,12/31/2018,Phase 3,Oraxol
AUPH,12/31/2018,Phase 2,Voclosporin
AUPH,12/31/2018,Phase 2,Voclosporin
AZN,12/31/2018,Phase 3,Farxiga - DECLARE
AZN,12/31/2018,Phase 3,Benralizumab - TERRANOVA
AZN,12/31/2018,Phase 3,Farxiga - DECLARE
AZN,12/31/2018,Phase 3,Durvalumab +/- tremelimumab (NEPTUNE)
AZN,12/31/2018,Phase 3,Anifrolumab
BIIB,12/31/2018,Phase 2,Raxatrigine - BIIB074 (Nav1.7 inhibitor)
BLPH,12/31/2018,Phase 2,INOpulse delivery device
BLPH,12/31/2018,Phase 3,INOpulse delivery device
BLRX,12/31/2018,Phase 2b,BL-8040
BMY,12/31/2018,Phase 3,CM-602 – Opdivo + Elo + SOC
BMY,12/31/2018,Phase 3,CM-459 – Opdivo
BYSI,12/31/2018,Phase 3,Plinabulin
CELG,12/31/2018,Phase 3,REVLIMID - ROBUST
CELG,12/31/2018,Phase 3,MM-007 OPTIMISMM
CELG,12/31/2018,Phase 3,Oral Azacitidine - CC-486-AML-001
CELG,12/31/2018,Phase 3,ABRAXANE - PANC-003 apact
CELG,12/31/2018,Phase 3,ABRAXANE - IMpower 130 ( I/O Combo)
CELG,12/31/2018,Phase 3,ABRAXANE - IMpower 131 ( I/O Combo)
CELG,12/31/2018,Phase 3,ABRAXANE - IMPassion ( I/O Combo)
CFRX,12/31/2018,Phase 2,CF-301
CNAT,12/31/2018,Phase 2,Emricasan
CNCE,12/31/2018,Phase 2a,CTP-543
EGRX,12/31/2018,Phase 3,Fulvestrant
EIGR,12/31/2018,Phase 2,Exendin 9-39
EIGR,12/31/2018,Phase 2,Ubenimex - ULTRA
EPZM,12/31/2018,Phase 2,Tazemetostat
ESPR,12/31/2018,Phase 3,Bempedoic Acid/ Ezetimibe (1002FDC-053)
FGEN,12/31/2018,Phase 3,Roxadustat - ANDES
GEMP,12/31/2018,Phase 2,Gemcabene - AZURE-1
GILD,12/31/2018,Phase 2,GS-9876
GILD,12/31/2018,Phase 2,GS-5734
GILD,12/31/2018,Phase 2,Axicabtagene ciloleucel - KTE-C19 (ZUMA-2)
GILD,12/31/2018,Phase 1/2,Axicabtagene ciloleucel - KTE-C19 (ZUMA-3)
GILD,12/31/2018,Phase 1/2,Axicabtagene ciloleucel - KTE-C19 (ZUMA-4)
GSK,12/31/2018,Phase 3,Closed Triple - CAPTAIN
GTXI,12/31/2018,Phase 2,Enobosarm
GWPH,12/31/2018,Phase 3,Epidiolex
GWPH,12/31/2018,Phase 3,Epidiolex
HALO,12/31/2018,Phase 3,PEGPH20 - HALO-301
HTBX,12/31/2018,Phase 1b,HS-110 and nivolumab (Opdivo)
IMGN,12/31/2018,Phase 3,Kadcyla (KATHERINE).
IMRN,12/31/2018,Phase 1/2,IMM-529
INVA,12/31/2018,Phase 3,Closed Triple
IOVA,12/31/2018,Phase 2,LN-145
JNJ,12/31/2018,Phase 3,STELARA (USTEKINUMAB)
KPTI,12/31/2018,Phase 2b,Selinexor - SADAL
LLY,12/31/2018,Phase 3,Flortaucipir F 18 (Tau imaging agent)
MACK,12/31/2018,Phase 2,MM-121
MBRX,12/31/2018,Phase 1/2,Annamycin
MRK,12/31/2018,Phase 3,Epacadostat with Keytruda - ECHO-301
MRNS,12/31/2018,Phase 2,Ganaxolone
NBIX,12/31/2018,Phase 2b,INGREZZA - T-Force GOLD
NVCR,12/31/2018,Phase 2,Tumor Treating Fields (TTFields) STELLAR
NVS,12/31/2018,Phase 3,QVM149
OBSV,12/31/2018,Phase 2a,OBE022 - PROLONG
OCUL,12/31/2018,Phase 3,OTX-TP
ONCS,12/31/2018,Phase 2b,ImmunoPulse IL-12 - PISCES
PFE,12/31/2018,Phase 3,Tanezumab
PLX,12/31/2018,Phase 3,PRX-102
PRQR,12/31/2018,Phase 1/2,QR-010
PULM,12/31/2018,Phase 2,PUR1800
RDHL,12/31/2018,Phase 3,RHB-105 - ERADICATE Hp 2
RETA,12/31/2018,Phase 3,Bardoxolone methyl - CATALYST
RIGL,12/31/2018,Phase 2,Fostamatinib
SBBP,12/31/2018,Phase 3,COR-003 (levoketoconazole) - LOGICS
SGEN,12/31/2018,Phase 3,ADCETRIS in combination with chemotherapy - ECHELON-2
SNNA,12/31/2018,Phase 3,SNA-001
SNNA,12/31/2018,Phase 3,SNA-001
SVRA,12/31/2018,Phase 3,Molgradex - IMPALA
TBPH,12/31/2018,Phase 3,Closed Triple - CAPTAIN
TCON,12/31/2018,Phase 2,TRC105
TCON,12/31/2018,Phase 2,TRC102
TCON,12/31/2018,Phase 3,TRC105 (TAPPAS)
UTHR,12/31/2018,Phase 3,Esuberaprost - BEAT
UTHR,12/31/2018,Phase 3,Orenitram
VNDA,12/31/2018,Phase 3,HETLIOZ (tasimelteon)
VRNA,12/31/2018,Phase 2b,RPL554
VTGN,12/31/2018,Phase 2,AV-101
XBIT,12/31/2018,Phase 2,XBIO-101
XNCR,12/31/2018,Phase 2,XmAb5871
CLSD,03/31/2019,Phase 3,Suprachoroidal CLS-TA - SAPPHIRE
CLSN,03/31/2019,Phase 3,ThermoDox - OPTIMA
GSK,03/31/2019,Phase 2b,Danirixin
PRTO,03/31/2019,Phase 3,Vonapanitase (PRT-201) PATENCY-2
ABBV,06/30/2019,Phase 2,ABBV-8E12
ATNM,06/30/2019,Phase 3,Iomab-B
BMY,06/30/2019,Phase 2,CM-568 - Opdivo + Yervoy
CNAT,06/30/2019,Phase 2,Emricasan
FBIO,06/30/2019,Phase 2,CEVA101
GBT,06/30/2019,Phase 3,GBT440 - HOPE
GSK,06/30/2019,Phase 3,Tapinarof
GSK,06/30/2019,Phase 2b,Inhaled PI3Kδ inhibitor
ICPT,06/30/2019,Phase 3,Ocaliva (Obeticholic acid (OCA)) - REGENERATE
RYTM,06/30/2019,Phase 3,Setmelanotide
SNDX,06/30/2019,Phase 1/2,Entinostat plus Tecentriq - ENCORE 603
SNNA,06/30/2019,Phase 2b,SNA-120
TBPH,06/30/2019,Phase 3,Telavancin
AKBA,07/31/2019,Phase 3,Vadadustat - INNO2VATE
AKBA,07/31/2019,Phase 3,Vadadustat - PRO2TECT
ALNY,10/31/2019,Phase 3,Fitusiran (ATLAS)
ABBV,12/31/2019,Phase 3,Venetoclax
AFMD,12/31/2019,Phase 2,AFM13
AGN,12/31/2019,Phase 3,RAPASTINEL
AKCA,12/31/2019,Phase 2,AKCEA-ANGPTL3-LRx
ANAB,12/31/2019,Phase 2b,ANB020
AZN,12/31/2019,Phase 3,AZD3293
AZN,12/31/2019,Phase 3,Durvalumab +/- tremelimumab (DANUBE)
AZN,12/31/2019,Phase 3,Brilinta (THEMIS)
BCLI,12/31/2019,Phase 3,NurOwn
BMRN,12/31/2019,Phase 3,Vosoritide
CELG,12/31/2019,Phase 3,REVLIMID - MAGNIFY NHL-010
CHMA,12/31/2019,Phase 3,Mycapssa - OPTIMAL
CNAT,12/31/2019,Phase 2b,Emricasan
GALE,12/31/2019,Phase 2,NeuVax in combination with Herceptin
GSK,12/31/2019,Phase 3,Mepolizumab - SYNAPSE
IMGN,12/31/2019,Phase 3,Kadcyla (KAITLIN)
INCY,12/31/2019,Phase 3,Ruxolitinib - REACH 3
JNJ,12/31/2019,Phase 3,INVOKANA - CREDENCE
JNJ,12/31/2019,Phase 3,DARZALEX (Daratumumab)
KPTI,12/31/2019,Phase 2/3,Selinexor - SEAL
KPTI,12/31/2019,Phase 3,Selinexor - BOSTON
MDCO,12/31/2019,Phase 3,Inclisiran
MRK,12/31/2019,Phase 3,MK-8931 (019) - Verubecestat
NVS,12/31/2019,Phase 3,QAW039 (fevipiprant)
NVS,12/31/2019,Phase 3,OMB157 (ofatumumab)
NVS,12/31/2019,Phase 3,Entresto - PARAGON
NVS,12/31/2019,Phase 3,Entresto - PARADISE
NVS,12/31/2019,Phase 3,AIN457 (Cosentyx)
OBSV,12/31/2019,Phase 3,OBE2109 - PRIMROSE
RETA,12/31/2019,Phase 3,Bardoxolone methyl - CARDINAL
RETA,12/31/2019,Phase 2,Omaveloxolone - MOXIe
ABBV,06/30/2020,Phase 2,ABBV-8E12
ADXS,06/30/2020,Phase 3,Axalimogene filolisbac - AIM2CERV Trial
AGN,12/31/2020,Phase 3,RELAMORELIN
AZN,12/31/2020,Phase 3,Durvalumab (ADJUVANT)
CATB,12/31/2020,Phase 3,Edasalonexent (CAT-1004)
CELG,12/31/2020,Phase 3,REVLIMID - MAGNIFY NHL-008
CHMA,12/31/2020,Phase 3,Mycapssa - MPOWERED
GSK,12/31/2020,Phase 3,Daprodustat - ASCEND-D
INCY,12/31/2020,Phase 3,Ruxolitinib - REACH 2
NVCR,12/31/2020,Phase 3,Tumor Treating Fields (TTFields) METIS
NVS,12/31/2020,Phase 3,Ruxolitinib - REACH 2
PFE,12/31/2020,Phase 3,XTANDI
PRTA,12/31/2020,Phase 3,NEOD001 VITAL
PFE,06/30/2021,Phase 3,XTANDI (EMBARK)
NVCR,12/31/2021,Phase 3,Tumor Treating Fields (TTFields) LUNAR
NVS,12/31/2023,Phase 2/3,CNP 520
