price,end_date,stage,date_text,ticker,drug
2.24,01/26/2018,PDUFA priority review,,ARDM,Linhaliq (Pulmaquin)
1.59,01/29/2018,Phase 2,1H 2019;,VTGN,AV-101
4.98,01/31/2018,Phase 2,January 2018;,KDMN,KD025
12.35,02/01/2018,Phase 2a,,TGTX,TG-1101 (ublituximab)
14.45,02/02/2018,PDUFA,,AMAG,Feraheme
3.02,02/08/2018,Phase 1/2,"February 8-10, 2018;",AVEO,Tivozanib + Opdivo
16.20,02/08/2018,Phase 1/2,,FOLD,ATB200
145.33,02/08/2018,PDUFA priority review,,JNJ,Apalutamide
145.33,02/08/2018,PDUFA,"February 8/9, 2018;",JNJ,ZYTIGA (abiraterone acetate) - LATITUDE
145.33,02/09/2018,Phase 2,"February 9, 2018;",JNJ,Erdafitinib
2.95,02/10/2018,Phase 2,,TCON,DE-122 and Lucentis - AVANTE
85.46,02/12/2018,PDUFA priority review,,GILD,Bictegravir/F/TAF
19.32,02/13/2018,PDUFA,,VRX,Plenvu (NER1006)
14.45,02/14/2018,PDUFA,,AMAG,Makena - auto injector
2.26,02/14/2018,PDUFA,,ATRS,Makena - auto injector
105.17,02/14/2018,Phase 2,"February 14-17, 2018;",CELG,OTEZLA
40.20,02/14/2018,PDUFA,Adcom 2/14/18; PDUFA 4/6/18;,PCRX,EXPAREL
19.95,02/15/2018,Phase 2,"February 15-17, 2018;",KURA,Tipifarnib
2.32,02/17/2018,PDUFA,,APRI,Vitaros
0.60,02/17/2018,Phase 2,,IMNP,Bertilimumab
5.75,02/23/2018,PDUFA,,KMPH,KP201/APAP
37.13,02/28/2018,Phase 3,February 2018;,AIMT,AR101 PALISADE
2.30,02/28/2018,Phase 1/2,February 2018;,AST,AST-OPC1 SCiSTAR
0.47,02/28/2018,Phase 3,Early 2018;,CRMD,Neutrolin - LOCK-IT 100
121.80,02/28/2018,Phase 2,Early 2018;,MDGL,MGL-3196
7.68,02/28/2018,Phase 2,Early 2018;,MRNS,Ganaxolone
2.09,02/28/2018,Phase 1/2,Feb 2018;,NVAX,NanoFlu vaccine
4.05,02/28/2018,Phase 1/2,Early 2018;,RXII,RXI-109-1501
7.75,02/28/2018,PDUFA,,SRNE,ZTlido (lidocaine patch 1.8%)
3.44,02/28/2018,Phase 1,February 2018;,SRRA,SRA737
169.21,02/28/2018,PDUFA priority review,,VRTX,Tezacaftor (VX-661) / ivacaftor
52.95,03/01/2018,Phase 1/2,"February 26-March 1, 2018;",IONS,IONIS-HTT Rx
5.85,03/02/2018,PDUFA,,OTIC,OTIPRIO
64.25,03/05/2018,PDUFA,,BMY,Opdivo -  4 week applications
39.01,03/08/2018,PDUFA,,PFE,Xeljanz
374.36,03/10/2018,Phase 3,,REGN,Praluent (alirocumab) ODYSSEY OUTCOMES
0.00,03/11/2018,Phase 1,"March 11-14, 2018;",SYBX,SYNB1020
6.72,03/19/2018,Phase 2,,SLS,Galinpepimut-S
367.91,03/30/2018,Phase 2b,Early-2018;,BIIB,Natalizumab (α4-integrin inhibitor)
169.21,03/30/2018,Phase 2,Early 2018;,VRTX,VX-445 in combination with tezacaftor and ivacaftor
169.21,03/30/2018,Phase 2,Early 2018;,VRTX,VX-659 in combination with tezacaftor and ivacaftor
169.21,03/30/2018,Phase 2,Early 2018;,VRTX,VX-152 in combination with tezacaftor and ivacaftor
1.88,03/31/2018,Phase 2b,March 2018;,ABIO,Gencaro - GENETIC-AF trial
27.25,03/31/2018,Phase 3,1Q 2018;,ACOR,Tozadenant
1.82,03/31/2018,Phase 1/2,1Q 2018;,ALT,NasoVAX
106.84,03/31/2018,Phase 2a,1Q 2018;,ANAB,ANB020
1.87,03/31/2018,Phase 3,1Q 2018;,ANTH,Sollpura - RESULT
0.00,03/31/2018,Phase 3,Early 2018;,ARMO,AM0010 (PEG-IL-10)
37.86,03/31/2018,Phase 2,1Q or 2Q 2018;,ARNA,APD371
37.86,03/31/2018,Phase 2,1Q 2018;,ARNA,Etrasimod
32.75,03/31/2018,Phase 3,1Q 2018;,BHVN,Rimegepant
0.24,03/31/2018,Phase 2,Early 2018;,BPTH,Prexigebersen
24.77,03/31/2018,Phase 1/2,Early 2018;,CBIO,CB 2679d/ ISU304
7.30,03/31/2018,Phase 2,1Q 2018;,CDTX,Rezafungin (CD101) IV - STRIVE
6.48,03/31/2018,Phase 3,1Q 2018;,CLSD,Suprachoroidal CLS-TA - PEACHTREE
25.10,03/31/2018,Phase 2,1Q 2018;,CORT,CORT125134
9.80,03/31/2018,Phase 2,1Q 2018;,CYTK,CK-2127107
30.93,03/31/2018,Phase 3,1Q 2018;,DERM,Olumacostat glasaretil (DRM01)
0.49,03/31/2018,Phase 3,1Q 2018 - likely February;,EARS,Keyzilen (AM-101) - TACTT3
13.01,03/31/2018,Phase 3,1Q 2018;,EDGE,EG-1962
74.88,03/31/2018,Phase 2,1Q 2018;,ESPR,Bempedoic Acid - 1002-039
74.88,03/31/2018,Phase 3,"March, May and September 2018;",ESPR,"Bempedoic acid - CLEAR LDL-C Lowering Program 1002-046, 1002-047 and 1002-048"
1.16,03/31/2018,Phase 2b,1Q 2018.;,EYEG,EGP-437
4.36,03/31/2018,Phase 2,1Q 2018;,FLKS,FLX-787 (Aust)
2.02,03/31/2018,Phase 2,1Q 2018;,GERN,Imetelstat - IMbarkStudy
85.46,03/31/2018,Phase 2,1Q 2018;,GILD,GS-9674
85.46,03/31/2018,Phase 3,1Q 2018;,GILD,GS-5745
85.46,03/31/2018,Phase 2,1Q 2018;,GILD,GS-9674
85.46,03/31/2018,Phase 2,1Q 2018;,GILD,Entospletinib
10.94,03/31/2018,Phase 2,1Q 2018;,GLMD,Aramchol - ARRIVE
39.04,03/31/2018,Phase 3,1Q 2018;,GSK,Dolutegravir + lamivudine (GEMINI 2)
39.04,03/31/2018,Phase 3,1Q 2018;,GSK,Dolutegravir + lamivudine (GEMINI 1)
26.24,03/31/2018,Phase 2,1Q 2018;,GTHX,Trilaciclib
138.55,03/31/2018,Phase 3,1Q 2018;,GWPH,Epidiolex
138.55,03/31/2018,Phase 2,1Q 2018;,GWPH,GWP42006 (CBDV)
8.37,03/31/2018,Phase 1/2,1Q 2018;,IMGN,Mirvetuximab soravtansine - FORWARD II
8.37,03/31/2018,Phase 3,1Q 2018;,IMGN,Mirvetuximab soravtansine - FORWARD I
6.73,03/31/2018,Phase 2,1Q 2018;,IMRN,IMM-124E
12.08,03/31/2018,Phase 1,Early 2018;,MBIO,MB-102
12.08,03/31/2018,Phase 1,Early 2018;,MBIO,MB-101
0.89,03/31/2018,Phase 1,1Q 2018;,MBVX,MVT-1075
0.89,03/31/2018,Phase 1/2,1Q 2018;,MBVX,MVT-5873
11.02,03/31/2018,Phase 1b,Early 2018;,MCRB,SER-262
5.82,03/31/2018,Phase 2b,1Q 2018;,MESO,MPC-150-IM - Class IV
5.82,03/31/2018,Phase 3,1Q 2018;,MESO,MSC-100-IV
26.05,03/31/2018,Phase 2,1Q 2018 - see note below;,MRTX,Mocetinostat and durvalumab
53.50,03/31/2018,Phase 2,1Q 2018;,MYOK,MYK-461 - PIONEER-HCM
88.87,03/31/2018,Phase 3,1Q 2018;,NBIX,Elagolix
58.14,03/31/2018,Phase 3,1Q 2018;,NVO,Semaglutide - oral - PIONEER
10.80,03/31/2018,Phase 2,1Q 2018;,OBSV,OBE001 - IMPLANT2
0.69,03/31/2018,Phase 2,1Q 2018;,PLX,OPRX-106
19.23,03/31/2018,Phase 2b,Early 2018;,PTGX,PTG-100
4.29,03/31/2018,Phase 1,1Q 2018;,PTI,PTI-428 + Kalydeco
374.36,03/31/2018,Phase 2,1Q 2018;,REGN,Cemiplimab
29.95,03/31/2018,Phase 2,1Q 2018;,RETA,Bardoxolone methyl - LARIAT
29.95,03/31/2018,Phase 2,1Q 2018;,RETA,Omaveloxolone - MOTOR
1.34,03/31/2018,Phase 1/2,1Q 2018;,RGLS,RG-012
2.29,03/31/2018,Phase 2a,1Q 2018;,RNN,RX-3117
2.29,03/31/2018,Phase 2a,1Q 2018;,RNN,Archexin
183.47,03/31/2018,Phase 1,1Q 2018 est.;,SAGE,SAGE-217
6.72,03/31/2018,Phase 2b,1Q 2018;,SLS,NeuVax in combination with Herceptin
2.23,03/31/2018,Phase 2,Late-1Q 2018;,SPHS,Topsalysin (PRX302)
23.07,03/31/2018,Phase 3,1Q 2018;,SPPI,SPI-2012 (ROLONTIS)
6.28,03/31/2018,Phase 3,1Q 2018;,TTPH,Eravacycline (TP-434) - IGNITE3
7.10,03/31/2018,Phase 3,1Q 2018;,VBLT,VB-111
17.25,03/31/2018,Phase 2,1Q 2018;,VNDA,HETLIOZ (tasimelteon)
7.36,03/31/2018,Phase 1/2,Early 2018;,VTVT,TTP399
7.36,03/31/2018,Phase 3,Early 2018;,VTVT,Azeliragon - STEADFAST
21.85,03/31/2018,Phase 1b,1Q 2018;,VYGR,VY-AADC01
62.04,04/03/2018,PDUFA priority review,,MRK,Keytruda
6.39,04/03/2018,PDUFA,,THERF,Ibalizumab
61.75,04/06/2018,PDUFA priority review,,CLVS,Rucaparib ARIEL3
93.91,04/09/2018,Phase 3,"April 7-10, 2018;",NVS,AIN457 (Cosentyx)
9.00,04/11/2018,Phase 2,EASL 2018.;,EIGR,Pegylated Interferon Lambda (LIMT HDV)
87.08,04/12/2018,PDUFA priority review,,LLY,Abemaciclib - MONARCH 3
64.25,04/16/2018,PDUFA priority review,,BMY,CM-214 – Opdivo + Yervoy
56.84,04/17/2018,PDUFA priority review,,RARE,KRN23 Burosumab
4.32,04/17/2018,PDUFA,,RIGL,Fostamatinib
88.87,04/27/2018,PDUFA priority review,,NBIX,Elagolix
17.95,04/28/2018,PDUFA,,SCMP,Lubiprostone
59.23,04/30/2018,Phase 3,Fall 2018;,ALKS,ALKS 3831 - ENLIGHTEN-2
196.01,04/30/2018,PDUFA,,AMGN,KYPROLIS (ENDEAVOR)
2.89,04/30/2018,Phase 1/2,"ARVO Conference - Apr 29 - May 03, 2018;",BTX,OpRegen
12.28,04/30/2018,Phase 2b,April 2018;,KPTI,Selinexor - STORM
6.68,04/30/2018,Phase 3,Spring 2018;,NBRV,Lefamulin - LEAP 2
93.91,04/30/2018,PDUFA priority review,,NVS,Kymriah (CTL019 )- JULIET
6.55,04/30/2018,PDUFA priority review,,PGNX,Azedra
56.08,05/01/2018,PDUFA priority review,,SGEN,ADCETRIS  in combination with chemotherapy ECHELON-1
54.23,05/04/2018,PDUFA,,PTLA,Andexanet alfa
1.31,05/08/2018,PDUFA,,LPCN,LPCN 1021
36.63,05/15/2018,PDUFA priority review,Estimate mid-2Q 2018;,AZN,Tagrisso - FLAURA
196.01,05/17/2018,PDUFA,,AMGN,Erenumab
93.91,05/17/2018,PDUFA,,NVS,Erenumab
31.85,05/21/2018,PDUFA priority review,,DOVA,Avatrombopag
145.33,05/21/2018,PDUFA priority review,,JNJ,DARZALEX (Daratumumab) - ALCYONE
91.60,05/25/2018,PDUFA priority review,,BMRN,Pegvaliase
8.75,05/26/2018,PDUFA,,REPH,Intravenous (IV) meloxicam
196.01,05/28/2018,PDUFA,,AMGN,Prolia (denosumab)
6.46,05/29/2018,PDUFA,,TXMD,Yuvvexy - TX-004HR
74.88,05/31/2018,Phase 3,May 2018;,ESPR,Bempedoic acid (ETC-1002-040) - Clear Harmony
2.55,05/31/2018,PDUFA,,KTOV,KIT-302
93.91,05/31/2018,PDUFA priority review,Estimate mid-2Q 2018;,NVS,Tafinlar (dabrafenib) and Mekinist (trametinib)
1.87,06/01/2018,Phase 2,ASCO 2018;,IDRA,IMO-2125 + ipilimumab - ILLUMINATE 204
19.32,06/18/2018,PDUFA,,VRX,IDP-118
12.70,06/23/2018,PDUFA,,SCPH,Furoscix
10.81,06/25/2018,PDUFA priority review,,AKAO,Plazomicin
138.55,06/27/2018,PDUFA priority review,,GWPH,Epidiolex
123.21,06/30/2018,Phase 2,2Q 2018;,ABBV,Rova-T (TRINITY)
24.53,06/30/2018,Phase 2,1H 2018;,ACRS,ATI-50002 - PK/safety
24.53,06/30/2018,Phase 2,1H 2018;,ACRS,ATI-50002 - open label
186.93,06/30/2018,Phase 2,1H 2018;,AGN,Brimo DDS
186.93,06/30/2018,Phase 2b,1H 2018;,AGN,ATOGEPANT
186.93,06/30/2018,Phase 3,1H 2018;,AGN,UBROGEPANT
186.93,06/30/2018,PDUFA,1H 2018;,AGN,ESMYA  (ulipristal acetate)
9.70,06/30/2018,Phase 2a,1H 2018;,ALRN,ALRN-6924
106.84,06/30/2018,Phase 2a,2Q 2018;,ANAB,ANB020
67.77,06/30/2018,Phase 3,1H 2018;,ANIK,Cingal
17.16,06/30/2018,Phase 3,1H 2018;,APLS,APL-2 IV - FILLY
2.30,06/30/2018,Phase 3,1H 2018;,ARGS,rocapuldencel-T (AGS-003) ADAPT Trial
2.30,06/30/2018,Phase 1,1H 2018;,ARGS,AGS-004 and vorinostat
14.39,06/30/2018,PDUFA,,ARRY,Binimetinib - COLUMBUS
13.37,06/30/2018,Phase 2,1H 2018;,ASNS,ASN100
3.02,06/30/2018,Phase 3,2Q 2018;,AVEO,TIVO-3 - tivozanib
0.61,06/30/2018,Phase 2,2Q 2018;,AVIR,BTA074 5% topical gel
2.16,06/30/2018,Phase 2,2Q 2018;,AXON,Nelotanserin
3.00,06/30/2018,Phase 3,1H 2018;,AXSM,AXS-05 STRIDE-1
36.63,06/30/2018,Phase 3,1H 2018;,AZN,Selumetinib - ASTRA
36.63,06/30/2018,Phase 3,1H 2018;,AZN,Lynparza
36.63,06/30/2018,Phase 3,1H 2018;,AZN,Durvalumab +/- tremelimumab (MYSTIC)
36.63,06/30/2018,Phase 3,1H 2018;,AZN,Durvalumab +/- tremelimumab (KESTREL)
36.63,06/30/2018,Phase 3,1H 2018;,AZN,Durvalumab +/- tremelimumab (EAGLE)
36.63,06/30/2018,Phase 3,1H 2018;,AZN,Durvalumab +/- tremelimumab (ARCTIC)
64.25,06/30/2018,Phase 3,1H 2018;,BMY,CM-714 Opdivo + Yervoy
64.25,06/30/2018,Phase 3,1H 2018;,BMY,CM-511 – Opdivo + Yervoy
64.25,06/30/2018,Phase 3,1H 2018;,BMY,CM-331– Opdivo
64.25,06/30/2018,Phase 3,1H 2018;,BMY,CM-227 – Opdivo + Yervoy
64.25,06/30/2018,Phase 2,1H 2018;,BMY,CM-548 - Opdivo+SOC
38.04,06/30/2018,Phase 1/2,2Q 2018;,BOLD,AT342 - VALENS
24.77,06/30/2018,Phase 2,1H 2018;,CBIO,Marzeptacog alfa
105.17,06/30/2018,Phase 3,1H 2018;,CELG,REVLIMID - AUGMENT NHL-007
4.50,06/30/2018,Phase 1/2,1H 2018;,CKPT,CK-101
2.84,06/30/2018,Phase 2b,2Q 2018;,CLDX,Glembatumumab vedotin
6.48,06/30/2018,Phase 2,2Q 2018;,CLSD,Suprachoroidal CLS-TA - TYBEE
6.48,06/30/2018,Phase 1/2,2Q 2018;,CLSD,Suprachoroidal CLS-TA - HULK
5.45,06/30/2018,Phase 2b,1H 2018;,CNAT,Emricasan
13.47,06/30/2018,Phase 1,1H 2018;,CORI,Corplex Donepezil
3.62,06/30/2018,Phase 3,1H 2018;,CPRX,Firdapse
3.22,06/30/2018,Phase 3,1H 2018;,CTIC,PIXUVRI - PIX306 Trial
25.00,06/30/2018,Phase 2b,1H 2018;,DBVT,Viaskin Milk
30.93,06/30/2018,PDUFA,,DERM,Glycopyrronium tosylate (DRM04)
22.20,06/30/2018,Phase 1,1H 2018;,DNLI,DNL201
30.27,06/30/2018,Phase 3,1H 2018;,EXEL,IMblaze370 - cobimetinib and atezolizumab
1.16,06/30/2018,Phase 3,2Q 2018;,EYEG,EGP-437
4.05,06/30/2018,Phase 2,1H 2018;,FBIO,CEVA101
4.05,06/30/2018,Phase 2,1H 2018;,FBIO,Pepvax vaccine
4.05,06/30/2018,Phase 3,2Q 2018;,FBIO,IV Tramadol
10.10,06/30/2018,Phase 2b,2Q 2018;,GEMP,Gemcabene - INDIGO-1
85.46,06/30/2018,Phase 2,2Q 2018;,GILD,Selonsertib (GS-4997)
10.94,06/30/2018,Phase 2b,2Q 2018;,GLMD,Aramchol - ARREST
117.42,06/30/2018,Phase 2,1H 2018;,GLPG,GLPG2737 - PELICAN
117.42,06/30/2018,Phase 2,2Q 2018;,GLPG,Filgotinib - TORTUGA
117.42,06/30/2018,Phase 2,2Q 2018;,GLPG,Filgotinib - EQUATOR
26.24,06/30/2018,Phase 1b,2Q 2018;,GTHX,G1T38 plus Faslodex
24.30,06/30/2018,Phase 3,1H 2018;,HRTX,HTX-011
1.87,06/30/2018,Phase 2,2Q 2018;,IDRA,IMO-8400
1.87,06/30/2018,Phase 1,1H 2018;,IMMP,Eftilagimod alpha and Keytruda
95.51,06/30/2018,Phase 3,1H 2018;,INCY,Epacadostat with Keytruda - ECHO-301
95.51,06/30/2018,Phase 3,1H 2018;,INCY,Ruxolitinib - REACH 1
2.09,06/30/2018,Phase 1,2Q 2018;,INFI,IPI-549 + Nivolumab
25.04,06/30/2018,Phase 1/2,1H 2018;,JNCE,JTX-2011
145.33,06/30/2018,Phase 3,2018;,JNJ,Esketamine
5.75,06/30/2018,Phase 3,2Q 2018;,KMPH,KP415
19.95,06/30/2018,Phase 2,1H 2018;,KURA,Tipifarnib
11.04,06/30/2018,Phase 2,1H 2018;,MACK,MM-141 - CARRIE
4.65,06/30/2018,Phase 3,1H 2018;,MDWD,NexoBrid
2.21,06/30/2018,Phase 2,1H 2018;,MEIP,Pracinostat in combination with Vidaza
22.56,06/30/2018,Phase 2,1H 2018;,MGNX,Margetuximab in combination with pembrolizumab
0.00,06/30/2018,Phase 2,2Q 2018;,MNLO,Serlopitant
1.14,06/30/2018,Phase 2,2Q 2018;,MTNB,MAT2501
88.87,06/30/2018,Phase 2a,1H 2018;,NBIX,NBI-74788
8.58,06/30/2018,Phase 2,1H 2018;,NLNK,Indoximod + gemcitabine and nab-paclitaxel
93.91,06/30/2018,Phase 2,1H 2018;,NVS,LJN452
93.91,06/30/2018,Phase 3,2Q 2018;,NVS,LEE011: MONALEESA-3
68.70,06/30/2018,Phase 3,1H 2018;,PBYI,Neratinib
3.92,06/30/2018,Phase 3,1H 2018;,PFNX,PF708 and Forteo
45.04,06/30/2018,Phase 2b,2Q 2018;,PRTA,NEOD001 PRONTO
1.53,06/30/2018,Phase 2,1H 2018;,PSTI,PLX-PAD (stem cells)
2.29,06/30/2018,Phase 2a,2Q 2018;,RNN,Supinoxin
26.95,06/30/2018,Phase 1b,1H 2018;,RXDX,RXDX-105
4.05,06/30/2018,Phase 2,1Q/2Q 2018;,RXII,Samcyprone - RXI-SCP-1502
31.87,06/30/2018,Phase 2,1H 2018;,RYTM,Setmelanotide
183.47,06/30/2018,Phase 2,2Q 2018;,SAGE,SAGE-217
6.95,06/30/2018,Phase 3,2Q 2018;,SBBP,COR-003 (levoketoconazole) - SONICS
20.90,06/30/2018,Phase 1/2,1H 2018;,SGMO,SB-525 cDNA gene therapy
20.90,06/30/2018,Phase 1/2,1H 2018;,SGMO,SB-318
20.90,06/30/2018,Phase 1/2,1H 2018;,SGMO,SB-913 - CHAMPIONS
11.31,06/30/2018,Phase 1/2,1H 2018;,SNDX,Entinostat plus Keytruda - ENCORE 601
11.31,06/30/2018,Phase 3,1H 2018;,SNDX,E2112
12.23,06/30/2018,Phase 1b,1H 2018;,SPRO,SPR741
11.87,06/30/2018,Phase 2,1H 2018;,SVRA,Aironite - INDIE
28.98,06/30/2018,Phase 2a,1H 2018;,TBPH,TD-9855
2.95,06/30/2018,Phase 1/2,1H 2018;,TCON,TRC253
2.95,06/30/2018,Phase 2,1H 2018;,TCON,TRC105 and Inlyta
12.35,06/30/2018,Phase 3,2Q 2018;,TGTX,TG-1101 and TGR-1202 - UNITY-CLL study
13.51,06/30/2018,Phase 2/3,1H 2018;,TOCA,Toca 511 & Toca FC
3.80,06/30/2018,Phase 2,1H 2018;,TPIV,TPIV200
69.23,06/30/2018,Phase 1/2,1H 2018;,TSRO,Niraparib and Keytruda (TOPACIO)
1.40,06/30/2018,Phase 1/2,1H 2018;,TTNP,Ropinirole implant
1.43,06/30/2018,Phase 2,2Q 2018;,VICL,VCL-HB01 HSV-2 Therapeutic Vaccine
5.63,06/30/2018,Phase 2,1H 2018;,VKTX,VK2809
12.50,06/30/2018,Phase 2a,1H 2018;,VRNA,RPL554
43.97,06/30/2018,Phase 2,1H 2018;,XLRN,ACE-083
16.08,06/30/2018,Phase 3,2Q 2018;,ZEAL,Dasiglucagon
37.95,06/30/2018,Phase 3,2Q 2018;,ZGNX,ZX008 - Study 1504
52.95,07/06/2018,PDUFA priority review,,IONS,Inotersen (IONIS-TTRRx)
1.24,07/28/2018,PDUFA,,DRRX,RBP-7000
9.75,07/28/2018,PDUFA,,INSY,Buprenorphine
134.39,07/31/2018,Phase 3,Mid-2018;,ALNY,Givosiran
128.09,07/31/2018,Phase 3,Mid-2018;,ALXN,Eculizumab
15.06,07/31/2018,Phase 3,Mid-2018;,ATNX,Oraxol
1.07,07/31/2018,Phase 2,Mid-2018;,BLRX,BL-8040
10.00,07/31/2018,Phase 2,Mid-2018;,CMTX,CX-072
25.73,07/31/2018,Phase 1/2,Mid-2018;,CTMX,CX 072
1.03,07/31/2018,Phase 3,Mid-2018;,EBIO,Vicinium
6.63,07/31/2018,Phase 3,Mid-2018;,FOMX,FMX103
6.63,07/31/2018,Phase 3,Mid-2018;,FOMX,FMX101 - FX2017-22
1.81,07/31/2018,Phase 2,Mid-2018;,GNMX,AEVI-001 (NFC-1)
1.81,07/31/2018,Phase 1/2,Mid-2018;,GNMX,AEVI-002 (Anti-LIGHT mAb)
85.72,07/31/2018,Phase 1/2,2018;,JUNO,Lico-cel (CD-19 JCAR017) - TRANSCEND
87.08,07/31/2018,Phase 3,Mid-2018;,LLY,Ramucirumab
26.05,07/31/2018,Phase 2,Mid-2018;,MRTX,Sitravatinib plus nivolumab
10.80,07/31/2018,Phase 2b,Mid-2018;,OBSV,OBE2109 - EDELWEISS
1.99,07/31/2018,Phase 1,Mid-2018;,PULM,Pulmazole (PUR1900)
6.20,07/31/2018,Phase 3,Mid-2018;,RDHL,RHB-104 MAP US
1.90,07/31/2018,Phase 2b,Mid-2018;,SCYX,SCY-078 - oral
4.61,07/31/2018,Phase 1/2,Mid-2018;,SNSS,SNS-062
12.23,07/31/2018,Phase 1,Mid-2018;,SPRO,SPR994
