price,end_date,stage,date_text,ticker,drug
67.58,07/31/2018,Phase 1/2,Mid-2018;,SRPT,SRP-5051
12.50,07/31/2018,Phase 2b,Mid-2018;,VRNA,RPL554
1.59,07/31/2018,Phase 2,Mid-2018.;,VTGN,AV-101
43.97,07/31/2018,Phase 3,Mid-2018;,XLRN,Luspatercept - BELIEVE
43.97,07/31/2018,Phase 3,Mid-2018;,XLRN,Luspatercept - MEDALIST
5.87,07/31/2018,Phase 2,Mid-2018;,ZFGN,ZGN-1061
374.36,08/11/2018,PDUFA,,REGN,EYLEA
19.32,08/26/2018,PDUFA,,VRX,IDP-121
19.42,08/30/2018,PDUFA,,AKCA,Volanesorsen - APPROACH
6.73,09/30/2018,Phase 1/2,3Q 2018;,AGLE,AEB1102
4.70,09/30/2018,Phase 1/2,3Q 2018 est.;,AGTC,rAAV-hRS1
4.27,09/30/2018,Phase 3,3Q 2018;,AMRN,Vascepa REDUCE-IT outcomes trial
12.38,09/30/2018,Phase 3,3Q 2018;,AQXP,AQX-1125 LEADERSHIP
20.91,09/30/2018,Phase 3,3Q 2018;,CNCE,AVP-786
9.00,09/30/2018,Phase 2,3Q 2018;,EIGR,Exendin 9-39
4.36,09/30/2018,Phase 2,3Q 2018;,FLKS,FLX-787 - COMMEND US trial
85.46,09/30/2018,Phase 3,3Q 2018;,GILD,F/TAF (Descovy)
2.53,09/30/2018,Phase 3,3Q 2018;,HSGX,NeoCart
58.14,09/30/2018,Phase 2,3Q 2018;,NVO,Concizumab - explorer
58.14,09/30/2018,Phase 3,3Q 2018;,NVO,Somapacitan (NN8640) - REAL 3
93.91,09/30/2018,Phase 2,3Q 2018;,NVS,INC280
6.55,09/30/2018,Phase 3,3Q 2018;,PGNX,1404
1.34,09/30/2018,Phase 2,3Q 2018;,RGLS,RG-012 - HERA
14.77,09/30/2018,Phase 2,3Q 2018;,SMMT,Ezutromid
4.10,09/30/2018,Phase 3,3Q 2018;,TNXP,TNX-102 SL
53.84,09/30/2018,Phase 3,3Q 2018;,URGN,MitoGel - OLYMPUS
6.15,09/30/2018,Phase 3,3Q 2018;,VTL,VTI-308
87.08,10/10/2018,PDUFA,,LLY,"Galcanezumab - EVOLVE-1, EVOLVE-2 and REGAIN"
15.45,10/19/2018,PDUFA,4Q 2018;,PRTK,Sarecycline
62.04,10/23/2018,PDUFA,,MRK,Doravirine (MK-1439)
1.68,11/02/2018,PDUFA,,TRVN,Oliceridine (TRV130)
93.91,11/16/2018,PDUFA,"Nov 16, 2018 est only;",NVS,Adalimumab
123.21,12/31/2018,Phase 3,2018;,ABBV,ABT-494 - SELECT-COMPARE
123.21,12/31/2018,Phase 3,2018;,ABBV,Imbruvica - PHOENIX
0.00,12/31/2018,Phase 2b,2H 2018;,ABLX,ALX-0171
5.25,12/31/2018,Phase 2,2H 2018;,ABUS,"ARB-1467, tenofovir, and pegylated interferon"
13.52,12/31/2018,Phase 1/2,2018;,ACIU,ACI-24 (anti-Abeta vaccine)
24.53,12/31/2018,Phase 2,YE 2018;,ACRS,ATI-50002 - dose ranging
7.00,12/31/2018,Phase 1/2,2H 2018;,ADVM,ADVM-043
186.93,12/31/2018,Phase 2b,2018;,AGN,Brazikumab
186.93,12/31/2018,Phase 3,2H 2018;,AGN,ABICIPAR
37.13,12/31/2018,Phase 3,2H 2018;,AIMT,AR101 RAMSES
15.23,12/31/2018,Phase 3,YE 2018;,AKBA,Vadadustat - TRILO2GY
15.23,12/31/2018,Phase 2,YE 2018;,AKBA,Vadadustat - FO2RWARD
19.42,12/31/2018,Phase 2,2018;,AKCA,AKCEA-ANGPTL3-LRx
19.42,12/31/2018,Phase 2b,2018;,AKCA,AKCEA-APO(a)-LRx
7.45,12/31/2018,Phase 2b,2H 2018;,ALDX,ADX-102
7.45,12/31/2018,Phase 3,2H 2018;,ALDX,ADX-102
7.45,12/31/2018,Phase 2,2H 2018;,ALDX,ADX-102
8.91,12/31/2018,Phase 2,2H 2018;,ALNA,ALLN-177
134.39,12/31/2018,Phase 1/2,2018;,ALNY,ALN-CC5 (cemdisiran)
128.09,12/31/2018,Phase 1/2,2Q 2018;,ALXN,ALXN1210
17.16,12/31/2018,Phase 2,2H 2018;,APLS,APL-2 subcutaneous
75.42,12/31/2018,Phase 2,2H 2018;,ARGX,ARGX-113
75.42,12/31/2018,Phase 2,2H 2018;,ARGX,ARGX-113
0.00,12/31/2018,Phase 2b,YE 2018;,ARMO,AM0010 (PEG-IL-10) and Pembrolizumab - Cypress 1
0.00,12/31/2018,Phase 2b,YE 2018;,ARMO,AM0010 (PEG-IL-10) and Nivolumab - Cypress 2
2.30,12/31/2018,Phase 1/2,2H 2018;,AST,AST-VAC2
0.75,12/31/2018,Phase 1,2H 2018;,ATNM,Actimab-M
0.42,12/31/2018,Phase 2,2018;,ATOS,Endoxifen
0.42,12/31/2018,Phase 2,2018;,ATOS,Endoxifen
5.62,12/31/2018,Phase 2,2H 2018;,AUPH,Voclosporin
5.62,12/31/2018,Phase 2,2H 2018;,AUPH,Voclosporin
36.63,12/31/2018,Phase 3,2H 2018;,AZN,Farxiga - DECLARE
36.63,12/31/2018,Phase 3,2H 2018;,AZN,Benralizumab - TERRANOVA
36.63,12/31/2018,Phase 3,2H 2018;,AZN,Durvalumab +/- tremelimumab (NEPTUNE)
36.63,12/31/2018,Phase 3,2H 2018;,AZN,Anifrolumab
367.91,12/31/2018,Phase 2,2018;,BIIB,Raxatrigine - BIIB074 (Nav1.7 inhibitor)
367.91,12/31/2018,Phase 2,2H 2018;,BIIB,BAN2401 (Aβ mAb)
103.03,12/31/2018,Phase 1/2,2018;,BIVV,BIVV001 (EXTEN-A)
2.41,12/31/2018,Phase 2b,YE 2018;,BLPH,INOpulse delivery device
2.41,12/31/2018,Phase 2,YE 2018;,BLPH,INOpulse delivery device
2.41,12/31/2018,Phase 3,2018;,BLPH,INOpulse delivery device
1.07,12/31/2018,Phase 2,,BLRX,BL-8040 in combination with KEYTRUDA - COMBAT trial
1.07,12/31/2018,Phase 2b,2018;,BLRX,BL-8040
64.25,12/31/2018,Phase 3,2H 2018;,BMY,CM-602 – Opdivo + Elo + SOC
64.25,12/31/2018,Phase 3,2H 2018;,BMY,CM-459 – Opdivo
64.25,12/31/2018,Phase 3,2H 2018;,BMY,CM-451 – Opdivo + Yervoy
31.75,12/31/2018,Phase 3,2018;,BYSI,Plinabulin
2.53,12/31/2018,Phase 2,2H 2018;,CANF,Namodenoson (CF102)
5.15,12/31/2018,Phase 2,2018;,CASC,Tucatinib - MOUNTAINEER
105.17,12/31/2018,Phase 3,2018;,CELG,OTEZLA - SPSO-001
105.17,12/31/2018,Phase 3,2018;,CELG,REVLIMID - ROBUST
105.17,12/31/2018,Phase 3,2018;,CELG,MM-007 OPTIMISMM
105.17,12/31/2018,Phase 3,2H 2018;,CELG,Oral Azacitidine - CC-486-AML-001
105.17,12/31/2018,Phase 3,2018;,CELG,ABRAXANE - PANC-003 apact
105.17,12/31/2018,Phase 3,2018;,CELG,ABRAXANE - IMpower 130 ( I/O Combo)
105.17,12/31/2018,Phase 3,2018;,CELG,ABRAXANE - IMpower 131 ( I/O Combo)
105.17,12/31/2018,Phase 3,2018;,CELG,ABRAXANE - IMPassion ( I/O Combo)
1.25,12/31/2018,Phase 2,4Q 2018;,CFRX,CF-301
4.65,12/31/2018,Phase 2,2H 2018;,CMRX,IV Brincidofovir
10.00,12/31/2018,Phase 2,2H 2018;,CMTX,CX-2009 - PROCLAIM
5.45,12/31/2018,Phase 2,2H 2018;,CNAT,Emricasan
20.91,12/31/2018,Phase 2a,2H 2018;,CNCE,CTP-543
25.73,12/31/2018,Phase 1/2,2H 2018;,CTMX,CX 2009
26.44,12/31/2018,Phase 1,2H 2018;,DCPH,DCC-3014
59.81,12/31/2018,Phase 3,4Q 2018;,EGRX,Fulvestrant
9.00,12/31/2018,Phase 2,2H 2018;,EIGR,Ubenimex - ULTRA
16.60,12/31/2018,Phase 2,2018;,EPZM,Tazemetostat
74.88,12/31/2018,Phase 3,4Q 2018;,ESPR,Bempedoic Acid/ Ezetimibe (1002FDC-053)
58.35,12/31/2018,Phase 3,2018;,FGEN,Roxadustat - ANDES
4.36,12/31/2018,Phase 2,2018;,FLKS,FLX-787
23.40,12/31/2018,Phase 2,2H 2018;,FLXN,Zilretta - SHIP
10.10,12/31/2018,Phase 2,2H 2018;,GEMP,Gemcabene - AZURE-1
85.46,12/31/2018,Phase 2,2H 2018;,GILD,Tirabrutinib (GS-4059)
85.46,12/31/2018,Phase 2,2H 2018;,GILD,GS-9876
85.46,12/31/2018,Phase 2,2H 2018;,GILD,GS-5734
85.46,12/31/2018,Phase 2,2018;,GILD,Axicabtagene ciloleucel - KTE-C19 (ZUMA-2)
85.46,12/31/2018,Phase 1/2,2018;,GILD,Axicabtagene ciloleucel - KTE-C19 (ZUMA-3)
85.46,12/31/2018,Phase 1/2,2018;,GILD,Axicabtagene ciloleucel - KTE-C19 (ZUMA-4)
26.24,12/31/2018,Phase 2,4Q 2018;,GTHX,Trilaciclib
14.31,12/31/2018,Phase 2,YE 2018;,GTXI,Enobosarm
138.55,12/31/2018,Phase 3,2H 2018;,GWPH,Epidiolex
138.55,12/31/2018,Phase 3,2H 2018;,GWPH,Epidiolex
18.94,12/31/2018,Phase 3,Late 4Q 2018;,HALO,PEGPH20 - HALO-301
18.94,12/31/2018,Phase 1b,2018;,HALO,PEGPH20 in combination with KEYTRUDA
2.95,12/31/2018,Phase 1b,2H 2018;,HTBX,HS-110 and nivolumab (Opdivo)
8.37,12/31/2018,Phase 3,2018;,IMGN,Kadcyla (KATHERINE).
6.73,12/31/2018,Phase 2,4Q 2018;,IMRN,IMM-124E
6.73,12/31/2018,Phase 1/2,4Q 2018;,IMRN,IMM-529
9.75,12/31/2018,Phase 2,YE 2018;,INSY,Cannabidiol
145.33,12/31/2018,Phase 3,2018;,JNJ,STELARA (USTEKINUMAB)
85.72,12/31/2018,Phase 1,2018;,JUNO,JCARH125
12.28,12/31/2018,Phase 2b,2H 2018;,KPTI,Selinexor - SADAL
87.08,12/31/2018,Phase 3,2018;,LLY,Flortaucipir F 18 (Tau imaging agent)
11.04,12/31/2018,Phase 2,2H 2018;,MACK,MM-121 (SHERBOC)
11.04,12/31/2018,Phase 2,2H 2018;,MACK,MM-121
1.97,12/31/2018,Phase 1/2,2018;,MBRX,Annamycin
0.00,12/31/2018,Phase 2,Late 2018 or early 2019;,MNLO,Serlopitant
0.00,12/31/2018,Phase 2,Late 2018 or early 2019;,MNLO,Serlopitant
7.68,12/31/2018,Phase 2,2018;,MRNS,Ganaxolone
88.87,12/31/2018,Phase 2b,Late-2018;,NBIX,INGREZZA - T-Force GOLD
28.25,12/31/2018,Phase 1,2018;,NCNA,NUC-3373
28.25,12/31/2018,Phase 2,2018;,NCNA,NUC-1031 (Acelarin)
13.92,12/31/2018,Phase 1/2,2018;,NITE,NSR-RPGR
2.09,12/31/2018,Phase 3,4Q 2018 or 1Q 2019;,NVAX,RSV vaccine - prepare trial
23.65,12/31/2018,Phase 2,2018;,NVCR,Tumor Treating Fields (TTFields) STELLAR
93.91,12/31/2018,Phase 3,2H 2018;,NVS,BYL719
93.91,12/31/2018,Phase 2,2H 2018;,NVS,LIK066
93.91,12/31/2018,Phase 3,2H 2018;,NVS,Entresto - PARAGON
10.80,12/31/2018,Phase 2a,YE 2018;,OBSV,OBE022 - PROLONG
5.21,12/31/2018,Phase 3,2H 2018;,OCUL,OTX-TP
2.01,12/31/2018,Phase 2b,2018;,ONCS,ImmunoPulse IL-12 - PISCES
1.58,12/31/2018,Phase 3,2H 2018;,ONTX,IV Rigosertib - INSPIRE
8.90,12/31/2018,Phase 2,2H 2018;,OVID,OV101 (STARS)
7.93,12/31/2018,Phase 2a,2H 2018;,PIRS,PRS-080
3.06,12/31/2018,Phase 1/2,2018;,PRQR,QR-010
1.99,12/31/2018,Phase 2a,4Q 2018;,PULM,PUR1800
19.39,12/31/2018,Phase 3,YE 2018;,QURE,AMT-061
56.84,12/31/2018,Phase 1/2,2H 2018;,RARE,DTX301
6.20,12/31/2018,Phase 3,2H 2018;,RDHL,RHB-105 - ERADICATE Hp 2
374.36,12/31/2018,Phase 3,2018;,REGN,Dupixent (dupilumab)
29.95,12/31/2018,Phase 3,2H 2018;,RETA,Bardoxolone methyl - CATALYST
29.30,12/31/2018,Phase 1/2,Late 2018;,RGNX,RGX-501
4.32,12/31/2018,Phase 2,2018;,RIGL,Fostamatinib
33.50,12/31/2018,Phase 3,2H 2018;,RVNC,"RT002 - SAKURA 1, 2 and 3"
6.95,12/31/2018,Phase 3,4Q 2018;,SBBP,COR-003 (levoketoconazole) - LOGICS
1.90,12/31/2018,Phase 3,4Q 2018;,SCYX,SCY-078 - oral - CARES
1.90,12/31/2018,Phase 3,4Q 2018;,SCYX,SCY-078 - oral (FURI)
56.08,12/31/2018,Phase 3,2018;,SGEN,ADCETRIS in combination with chemotherapy - ECHELON-2
20.90,12/31/2018,Phase 1/2,2018;,SGMO,SB-FIX
2.23,12/31/2018,Phase 3,2H 2018;,SNGX,SGX301 (synthetic hypericin)
17.92,12/31/2018,Phase 3,2H 2018;,SNNA,SNA-001
17.92,12/31/2018,Phase 3,2H 2018;,SNNA,SNA-001
45.76,12/31/2018,Phase 3,4Q 2018;,SNY,Isatuximab
67.58,12/31/2018,Phase 1/2,2H 2018;,SRPT,Microdystrophin gene therapy rAAVrh74.MCK.GALGT2
67.58,12/31/2018,Phase 1/2,2H 2018;,SRPT,GALGT2 gene therapy
11.87,12/31/2018,Phase 3,YE 2018;,SVRA,Molgradex - IMPALA
0.00,12/31/2018,Phase 1,2H 2018;,SYBX,SYNB1618
0.00,12/31/2018,Phase 1/2,YE 2018;,SYBX,SYNB1020
28.98,12/31/2018,Phase 3,2H 2018;,TBPH,Closed Triple - CAPTAIN
2.95,12/31/2018,Phase 2,2018;,TCON,TRC105
2.95,12/31/2018,Phase 2,2018;,TCON,TRC102
2.95,12/31/2018,Phase 3,2H 2018;,TCON,TRC105 (TAPPAS)
0.00,12/31/2018,Phase 2b,2H 2018;,TORC,RTB101 and Everolimus
69.23,12/31/2018,Phase 1/2,2H 2018;,TSRO,Niraparib - AVANOVA
136.97,12/31/2018,Phase 3,2018;,UTHR,Esuberaprost - BEAT
136.97,12/31/2018,Phase 3,2H 2018;,UTHR,Orenitram
17.25,12/31/2018,Phase 2,YE 2018;,VNDA,Tradipitant
17.25,12/31/2018,Phase 3,2018;,VNDA,HETLIOZ (tasimelteon)
4.73,12/31/2018,Phase 2,YE 2018;,XBIT,XBIO-101
23.36,12/31/2018,Phase 2,4Q 2018;,XNCR,XmAb5871
16.08,12/31/2018,Phase 3,2H 2018;,ZEAL,Dasiglucagon
37.13,03/31/2019,Phase 3,Early 2019;,AIMT,AR101 ARTEMIS
53.64,03/31/2019,Phase 3,1Q 2019;,ASND,TransCon
4.30,03/31/2019,Phase 2,Early 2019;,CLBS,CLBS03
6.48,03/31/2019,Phase 3,1Q 2019;,CLSD,Suprachoroidal CLS-TA - SAPPHIRE
2.61,03/31/2019,Phase 3,1Q 2019;,CLSN,ThermoDox - OPTIMA
4.44,03/31/2019,Phase 3,Early 2019;,CTXR,Mino-Lok
9.10,03/31/2019,Phase 3,1Q 2019;,EVFM,Amphora - AMPOWER
39.04,03/31/2019,Phase 2b,1Q 2019;,GSK,Danirixin
8.34,03/31/2019,Phase 2b,Early 2019;,ORMP,ORMD-0801
2.20,03/31/2019,Phase 3,1Q 2019;,PRTO,Vonapanitase (PRT-201) PATENCY-2
2.29,03/31/2019,Phase 2a,1Q 2019;,RNN,RX-3117 in combination with Abraxane
37.25,06/30/2019,Phase 1,1H 2019;,ATRA,ATA188
37.25,06/30/2019,Phase 3,1H 2019;,ATRA,ATA 129 - ALLELE
64.25,06/30/2019,Phase 2,2H 2018 – 1H 2019;,BMY,CM-568 - Opdivo + Yervoy
4.65,06/30/2019,–,1H 2019;,CMRX,Oral Brincidofovir
5.45,06/30/2019,Phase 2,1H 2019;,CNAT,Emricasan
4.05,06/30/2019,Phase 2,1H 2019;,FBIO,CEVA101
60.15,06/30/2019,Phase 3,1H 2019;,GBT,GBT440 - HOPE
39.04,06/30/2019,Phase 3,1H 2019;,GSK,Tapinarof (GSK2894512)
39.04,06/30/2019,Phase 2b,1H 2019;,GSK,Inhaled PI3Kδ inhibitor
64.92,06/30/2019,Phase 3,1H 2019;,ICPT,Ocaliva (Obeticholic acid (OCA)) - REGENERATE
5.70,06/30/2019,Phase 1/2,1H 2019;,KMDA,Alpha-1 antitrypsin (AAT)
6.60,06/30/2019,Phase 3,1H 2019;,NERV,MIN-101
7.54,06/30/2019,Phase 2,1H 2019;,RARX,RA101495
31.87,06/30/2019,Phase 3,1H 2019;,RYTM,Setmelanotide
0.00,06/30/2019,Phase 1/2,1H 2019;,SLDB,SGT-001
11.31,06/30/2019,Phase 1/2,1H 2019;,SNDX,Entinostat plus Tecentriq - ENCORE 603
2.23,06/30/2019,Phase 3,1H 2019;,SNGX,SGX942 (dusquetide)
17.92,06/30/2019,Phase 2b,1H 2019;,SNNA,SNA-120
28.98,06/30/2019,Phase 3,2018/19;,TBPH,Telavancin
12.35,06/30/2019,Phase 2/3,1H 2019;,TGTX,TG-1101 and TGR-1202 - UNITY-NHL study
134.39,10/31/2019,Phase 3,Mid-late 2019;,ALNY,Fitusiran (ATLAS)
123.21,12/31/2019,Phase 3,2019;,ABBV,Venetoclax
2.95,12/31/2019,Phase 1/2,2019;,ADXS,Axalimogene filolisbac + durvalumab
1.40,12/31/2019,Phase 2,2019;,AFMD,AFM13
186.93,12/31/2019,Phase 3,2019;,AGN,RAPASTINEL
15.23,12/31/2019,Phase 3,2019;,AKBA,Vadadustat - INNO2VATE
15.23,12/31/2019,Phase 3,2019;,AKBA,Vadadustat - PRO2TECT
19.42,12/31/2019,Phase 2,2019;,AKCA,AKCEA-ANGPTL3-LRx
19.42,12/31/2019,Phase 2b,2019;,AKCA,AKCEA-APOCIII-LRx
8.91,12/31/2019,Phase 3,2H 2019;,ALNA,ALLN-177
196.01,12/31/2019,Phase 3,2019;,AMGN,KYPROLIS (ARROW)
106.84,12/31/2019,Phase 2b,2019;,ANAB,ANB020
0.75,12/31/2019,Phase 3,2H 2019;,ATNM,Iomab-B
36.63,12/31/2019,Phase 3,2019;,AZN,AZD3293
36.63,12/31/2019,Phase 3,2019;,AZN,Durvalumab +/- tremelimumab (DANUBE)
36.63,12/31/2019,Phase 3,2019;,AZN,Brilinta (THEMIS)
3.65,12/31/2019,Phase 3,Late 2019;,BCLI,NurOwn
91.60,12/31/2019,Phase 3,2H 2019;,BMRN,Vosoritide
64.25,12/31/2019,Phase 3,2019;,BMY,CM-649 – Opdivo+ Yervoy or Chemo
64.25,12/31/2019,Phase 3,2019;,BMY,CM-9LA Opdivo + Yervoy + Chemo
64.25,12/31/2019,Phase 3,2019;,BMY,CM-651 – Opdivo + Yervoy
105.17,12/31/2019,Phase 3,2019;,CELG,REVLIMID - MAGNIFY NHL-010
1.68,12/31/2019,Phase 3,2019;,CHMA,Mycapssa - OPTIMAL
5.45,12/31/2019,Phase 2b,2019;,CNAT,Emricasan
26.44,12/31/2019,Phase 3,2019;,DCPH,DCC-2618 - INVICTUS
39.04,12/31/2019,Phase 3,2019;,GSK,Mepolizumab - SYNAPSE
8.37,12/31/2019,Phase 3,2019;,IMGN,Kadcyla (KAITLIN)
1.87,12/31/2019,Phase 2b,2019;,IMMP,Eftilagimod Alpha  - Active Immunotherapy PAClitaxel (AIPAC)
6.73,12/31/2019,Phase 2,2019;,IMRN,IMM-124E
95.51,12/31/2019,Phase 3,2019;,INCY,Ruxolitinib - REACH 3
95.51,12/31/2019,Phase 3,2019;,INCY,Ruxolitinib - REACH 2
145.33,12/31/2019,Phase 3,2019;,JNJ,INVOKANA - CREDENCE
145.33,12/31/2019,Phase 3,2019;,JNJ,DARZALEX (Daratumumab)
11.85,12/31/2019,Phase 2,2H 2019;,KALV,KVD001
12.28,12/31/2019,Phase 2/3,2019;,KPTI,Selinexor - SEAL
12.28,12/31/2019,Phase 3,2019;,KPTI,Selinexor - BOSTON
33.60,12/31/2019,–,2H 2019;,MDCO,Inclisiran - ORION 11
62.04,12/31/2019,Phase 3,2019;,MRK,MK-8931 (019) - Verubecestat
93.91,12/31/2019,Phase 3,2019;,NVS,QVM149
93.91,12/31/2019,Phase 3,2019;,NVS,QAW039 (fevipiprant)
93.91,12/31/2019,Phase 3,2019;,NVS,OMB157 (ofatumumab)
93.91,12/31/2019,Phase 3,2019;,NVS,Entresto - PARADISE
10.80,12/31/2019,Phase 3,2H 2019;,OBSV,OBE2109 - PRIMROSE 2
10.80,12/31/2019,Phase 3,2H 2019;,OBSV,OBE2109 - PRIMROSE
3.05,12/31/2019,Phase 2a,2H 2019;,OPHT,Zimura
1.12,12/31/2019,Phase 1/2,2019;,OVAS,OvaPrime
29.95,12/31/2019,Phase 3,2H 2019;,RETA,Bardoxolone methyl - CARDINAL
29.95,12/31/2019,Phase 2,2H 2019;,RETA,Omaveloxolone - MOXIe
6.72,12/31/2019,Phase 2,4Q 2019;,SLS,NeuVax in combination with Herceptin
4.10,12/31/2019,Phase 3,2H 2019;,VBIV,Sci-B-Vac - PROTECT
12.07,12/31/2019,Phase 2/3,2019;,ZYNE,ZYN002
2.95,06/30/2020,Phase 3,2020/21;,ADXS,Axalimogene filolisbac - AIM2CERV Trial
21.01,06/30/2020,Phase 3,1H 2020;,MNK,Terlipressin
21.01,06/30/2020,Phase 2,1H 2020;,MNK,H.P. Acthar Gel
21.01,06/30/2020,Phase 3,1H 2020;,MNK,UVADEX (methoxsalen) and Therakos
0.00,06/30/2020,Phase 3,1H 2020;,MNLO,Serlopitant
186.93,12/31/2020,Phase 3,2020;,AGN,RELAMORELIN
36.63,12/31/2020,Phase 3,2020;,AZN,Durvalumab (ADJUVANT)
1.07,12/31/2020,Phase 3,2020;,BLRX,BL-8040 GENESIS
1.50,12/31/2020,Phase 3,2020;,CATB,Edasalonexent (CAT-1004)
105.17,12/31/2020,Phase 3,2020;,CELG,REVLIMID - MAGNIFY NHL-008
1.68,12/31/2020,Phase 3,2020;,CHMA,Mycapssa - MPOWERED
8.90,12/31/2020,Phase 3,2020;,CRBP,Anabasum (Resunab)
39.04,12/31/2020,Phase 3,2020;,GSK,Daprodustat - ASCEND-D
4.04,12/31/2020,Phase 2,2020;,KZIA,GDC-0084
23.65,12/31/2020,Phase 3,2020;,NVCR,Tumor Treating Fields (TTFields) METIS
21.69,12/31/2020,Phase 3,2020;,ODT,Tesetaxel - CONTESSA
3.05,12/31/2020,Phase 2b,2020;,OPHT,Zimura
45.04,12/31/2020,Phase 3,2020;,PRTA,NEOD001 VITAL
23.65,12/31/2021,Phase 3,2021;,NVCR,Tumor Treating Fields (TTFields) LUNAR
93.91,12/31/2022,Phase 3,2022;,NVS,Cosentyx (secukinumab) - SURPASS
93.91,12/31/2024,Phase 2/3,2024;,NVS,CNP 520
