drug,stage,ticker,date
GS-0976,Phase 2,GILD,09/30/2017
BEKINDA,Phase 2,RDHL,10/03/2017
CAP-1002 HOPE-Duchenne,Phase 1/2,CAPR,10/04/2017
CAT-1004,Phase 2,CATB,10/04/2017
Lenti-D - Starbeam,Phase 2/3,BLUE,10/05/2017
Resolaris,Phase 1/2,LIFE,10/05/2017
Zilretta - FX006,PDUFA,FLXN,10/06/2017
ATB200,Phase 1/2,FOLD,10/06/2017
Golodirsen - Exon 53,Phase 1/2,SRPT,10/07/2017
MYL-1401H,PDUFA,MYL,10/09/2017
ARX-04 (SAP303),PDUFA,ACRX,10/12/2017
Voretigene neparvovec (SPK-RPE65),PDUFA priority review,ONCE,10/12/2017
Rhopressa,PDUFA,AERI,10/13/2017
Sodium Thiosulphate,Phase 3,FENC,10/14/2017
INGREZZA,PDUFA,NBIX,10/14/2017
TIVO-3 - tivozanib,Phase 3,AVEO,10/15/2017
STELARA (USTEKINUMAB),PDUFA,JNJ,10/15/2017
Makena - auto injector,PDUFA,ATRS,10/17/2017
LOXO-292,Phase 1,LOXO,10/18/2017
VIBEX QuickShot,PDUFA,ATRS,10/20/2017
Pegylated Interferon Lambda (LIMT HDV),Phase 2,EIGR,10/20/2017
SIMPONI ARIA,PDUFA,JNJ,10/21/2017
SIMPONI ARIA,PDUFA,JNJ,10/21/2017
Eculizumab,PDUFA,ALXN,10/23/2017
Shingrix,PDUFA,AGEN,10/24/2017
Shingrix,PDUFA,GSK,10/24/2017
Ataluren,PDUFA,PTCT,10/24/2017
Rolapitant - intravenous (IV),PDUFA,TSRO,10/25/2017
XARELTO (rivaroxaban),PDUFA priority review,JNJ,10/28/2017
MN-166,Phase 2b,MNOV,10/28/2017
Ready-to-dilute (RTD) Pemetrexed Injection,PDUFA,EGRX,10/30/2017
Viaskin Peanut (PEPITES),Phase 3,DBVT,10/31/2017
Auryxia,PDUFA,KERX,11/06/2017
Staphylococcus aureus vaccine,PDUFA,PFE,11/07/2017
Sprycel (dasatinib),PDUFA priority review,BMY,11/09/2017
HEPLISAV-B,PDUFA,DVAX,11/10/2017
CB-839 + nivolumab,Phase 1/2,CALA,11/11/2017
CINVANTI (HTX-019),PDUFA,HRTX,11/12/2017
Tenapanor (T3MPO-2),Phase 3,ARDX,11/15/2017
rhGUS,PDUFA priority review,RARE,11/16/2017
Axicabtagene ciloleucel (KTE-C19) - ZUMA-1,PDUFA priority review,KITE,11/29/2017
"Glembatumumab vedotin, varlilumab, Opdivo or Keytruda",Phase 2,CLDX,11/30/2017
Repatha,PDUFA,AMGN,12/02/2017
MYL-1401O - trastuzumab biosimilar,PDUFA,MYL,12/03/2017
Dolutegravir + rilpivirine:,PDUFA priority review,GSK,12/05/2017
Rilpivirine and Dolutegravir,PDUFA priority review,JNJ,12/05/2017
Semaglutide,PDUFA,NVO,12/05/2017
ARGX-110,Phase 2,ARGX,12/09/2017
LentiGlobin - HGB-206,Phase 1/2,BLUE,12/09/2017
G100,Phase 2,IMDZ,12/09/2017
ADCETRIS,PDUFA priority review,SGEN,12/16/2017
A-101,PDUFA,ACRS,12/24/2017
Twirla,PDUFA,AGRX,12/26/2017
Twirla,PDUFA,CORI,12/26/2017
Luminesse,PDUFA,VRX,12/27/2017
Macimorelin Acetate - Macrilen,PDUFA,AEZS,12/30/2017
Imbruvica - PHOENIX,Phase 3,ABBV,12/31/2017
Risankizumab,Phase 3,ABBV,12/31/2017
Elagolix,Phase 3,ABBV,12/31/2017
Risankizumab,Phase 2b,ABBV,12/31/2017
Rova-T (TRINITY),Phase 2,ABBV,12/31/2017
CRS-207 with pembrolizumab,Phase 2,ADRO,12/31/2017
Axalimogene filolisbac + durvalumab,Phase 1/2,ADXS,12/31/2017
Axalimogene filolisbac,Phase 2,ADXS,12/31/2017
AFM13 with Keytruda,Phase 1b,AFMD,12/31/2017
Cortisol Analog,Phase 3,AGN,12/31/2017
ALKS 8700,Phase 3,ALKS,12/31/2017
ANB020,Phase 2,ANAB,12/31/2017
ANB020,Phase 2a,ANAB,12/31/2017
RDX7675,Phase 2,ARDX,12/31/2017
rocapuldencel-T (AGS-003),Phase 2,ARGS,12/31/2017
AST-OPC1 SCiSTAR,Phase 1/2,AST,12/31/2017
Actimab-A,Phase 2,ATNM,12/31/2017
Oraxol,Phase 3,ATNX,12/31/2017
Intepirdine - HEADWAY-DLB,Phase 2b,AXON,12/31/2017
Nelotanserin,Phase 2,AXON,12/31/2017
Tralokinumab (STRATOS2),Phase 3,AZN,12/31/2017
Moxetumomab,Phase 3,AZN,12/31/2017
Durvalumab +/- tremelimumab (ARCTIC),Phase 3,AZN,12/31/2017
Benralizumab,PDUFA,AZN,12/31/2017
BAN2401 (Aβ mAb),Phase 2,BIIB,12/31/2017
BG00011 (STX-100),Phase 2,BIIB,12/31/2017
BL-8040 in combination with KEYTRUDA - COMBAT trial,Phase 2,BLRX,12/31/2017
BL-8040,Phase 2,BLRX,12/31/2017
CM-459 – Opdivo,Phase 3,BMY,12/31/2017
CM-511 – Opdivo + Yervoy,Phase 3,BMY,12/31/2017
CM-227 – Opdivo + Yervoy,Phase 3,BMY,12/31/2017
AT342 - VALENS,Phase 1/2,BOLD,12/31/2017
AT132 - ASPIRO,Phase 1/2,BOLD,12/31/2017
BP-1001,Phase 2,BPTH,12/31/2017
AST-OPC1 - SCiStar,Phase 1/2,BTX,12/31/2017
Plinabulin (Trial 106),Phase 2/3,BYSI,12/31/2017
Plinabulin (Trial 105),Phase 2/3,BYSI,12/31/2017
CB-839 with paclitaxel,Phase 2,CALA,12/31/2017
CB 2679d/ ISU304,Phase 1/2,CBIO,12/31/2017
CD101 IV - STRIVE,Phase 2,CDTX,12/31/2017
REVLIMID - RELEVANCE,Phase 3,CELG,12/31/2017
REVLIMID - AUGMENT NHL-007,Phase 3,CELG,12/31/2017
Ozanimod - SUNBEAM,Phase 3,CELG,12/31/2017
OTEZLA - BCT-002 RELIEF,Phase 3,CELG,12/31/2017
ABRAXANE - PANC-003 apact,Phase 3,CELG,12/31/2017
ABRAXANE - NSCL-003 abound.sqm,Phase 3,CELG,12/31/2017
ABRAXANE - NSCL-003 abound.70+,Phase 3,CELG,12/31/2017
Ozanimod - RADIANCE,Phase 3,CELG,12/31/2017
OTEZLA,Phase 2,CELG,12/31/2017
GED-0301,Phase 2,CELG,12/31/2017
Taksta - Fusidic acid,Phase 2/3,CEMP,12/31/2017
CLR 131,Phase 2,CLRB,12/31/2017
Suprachoroidal CLS-TA - HULK,Phase 1/2,CLSD,12/31/2017
Firdapse,Phase 3,CPRX,12/31/2017
Anabasum (Resunab),Phase 2,CRBP,12/31/2017
Neutrolin - LOCK-IT 100,Phase 3,CRMD,12/31/2017
Tirasemtiv - VITALITY,Phase 3,CYTK,12/31/2017
CRLX301,Phase 2a,DARE,12/31/2017
"CRLX101, in combination with LYNPARZA",Phase 1/2,DARE,12/31/2017
CRLX101 and paclitaxel,Phase 2,DARE,12/31/2017
Viaskin Peanut (REALISE),Phase 3,DBVT,12/31/2017
Viaskin Milk,Phase 1/2,DBVT,12/31/2017
Melphalan Hepatic Delivery System (Melphalan HDS),Phase 3,DCTH,12/31/2017
DTX301,Phase 1/2,DMTX,12/31/2017
POSIMIR - PERSIST 3,Phase 3,DRRX,12/31/2017
AM-111 HEALOS,Phase 3,EARS,12/31/2017
Egalet-002,Phase 3,EGLT,12/31/2017
Gimoti - EVK-001,Phase 3,EVOK,12/31/2017
XL184 cabozantinib (CELESTIAL),Phase 3,EXEL,12/31/2017
EGP-437,Phase 2b,EYEG,12/31/2017
EGP-437,Phase 3,EYEG,12/31/2017
CAEL‐101,Phase 1/2,FBIO,12/31/2017
Triplex vaccine,Phase 2,FBIO,12/31/2017
FLX-787,Phase 2,FLKS,12/31/2017
GR-MD-02,Phase 2b,GALT,12/31/2017
GBT440,Phase 2a,GBT,12/31/2017
GBT440 HOPE-KIDS 1,Phase 1/2,GBT,12/31/2017
GS-9674,Phase 2,GILD,12/31/2017
AEVI-002 (Anti-LIGHT mAb),Phase 1/2,GNMX,12/31/2017
anti-SAP mAb,Phase 2b,GSK,12/31/2017
GSK 165,Phase 3,GSK,12/31/2017
Nucala,Phase 3,GSK,12/31/2017
GSK 166,Phase 2b,GSK,12/31/2017
GSK 165,Phase 2,GSK,12/31/2017
PEGPH20 in combination with KEYTRUDA,Phase 1b,HALO,12/31/2017
IMM-124E,Phase 2,IMRN,12/31/2017
IONIS-HTT Rx,Phase 1/2,IONS,12/31/2017
IW-1973,Phase 2a,IRWD,12/31/2017
IW-1973,Phase 2,IRWD,12/31/2017
KD025,Phase 2,KDMN,12/31/2017
KD025,Phase 2,KDMN,12/31/2017
Axicabtagene ciloleucel - KTE-C19 (ZUMA-6),Phase 1/2,KITE,12/31/2017
Alpha-1 Antitrypsin (AAT),Phase 2/3,KMDA,12/31/2017
Flortaucipir F 18 (Tau imaging agent),Phase 3,LLY,12/31/2017
Alimta + Keytruda (MK-3475-189/KEYNOTE-189),Phase 3,LLY,12/31/2017
Abemaciclib - JUNIPER,Phase 3,LLY,12/31/2017
Larotrectinib (LOXO-101),Phase 2,LOXO,12/31/2017
MVT-1075,Phase 1,MBVX,12/31/2017
SER-287,Phase 1b,MCRB,12/31/2017
MGL-3196,Phase 2,MDGL,12/31/2017
MSC-100-IV,Phase 3,MESO,12/31/2017
(MK-3475-189/KEYNOTE-189),Phase 3,MRK,12/31/2017
Ertugliflozin,PDUFA,MRK,12/31/2017
Ganaxolone,Phase 2,MRNS,12/31/2017
XMT1522,Phase 1,MRSN,12/31/2017
Mocetinostat and durvalumab,Phase 2,MRTX,12/31/2017
Glesatinib (MGCD265),Phase 2,MRTX,12/31/2017
MCLA-128,Phase 1/2,MRUS,12/31/2017
Iclaprim - REVIVE-2,Phase 3,MTFB,12/31/2017
Elagolix,Phase 3,NBIX,12/31/2017
Inhaled Amikacin Solution (BAY41-6551T),Phase 3,NKTR,12/31/2017
Indoximod + chemotherapy,Phase 1/2,NLNK,12/31/2017
Indoximod + temozolomide,Phase 2,NLNK,12/31/2017
Indoximod + gemcitabine and nab-paclitaxel,Phase 2,NLNK,12/31/2017
NanoFlu vaccine,Phase 1/2,NVAX,12/31/2017
LEE011: MONALEESA-3,Phase 3,NVS,12/31/2017
OCR-002,Phase 2a,OCRX,12/31/2017
AG013,Phase 2,OGEN,12/31/2017
ImmunoPulse IL-12,Phase 2,ONCS,12/31/2017
IV Rigosertib - INSPIRE,Phase 3,ONTX,12/31/2017
Neratinib monotherapy with high dose loperamide prophylaxis - CONTROL,Phase 2,PBYI,12/31/2017
Xeljanz,Phase 3,PFE,12/31/2017
Ertugliflozin,Phase 3,PFE,12/31/2017
BOSULIF,PDUFA priority review,PFE,12/31/2017
Zepsyre(PM1183),Phase 3,PHMMF,12/31/2017
OPRX-106,Phase 2,PLX,12/31/2017
PLX-PAD (stem cells),Phase 2,PSTI,12/31/2017
PTI-428,Phase 2,PTI,12/31/2017
PUR0200,Phase 2,PULM,12/31/2017
Elacestrant,Phase 2b,RDUS,12/31/2017
EYLEA + nesvacumab,Phase 2,REGN,12/31/2017
EYLEA + nesvacumab,Phase 2,REGN,12/31/2017
Bardoxolone methyl - LARIAT,Phase 2,RETA,12/31/2017
Omaveloxolone - MOTOR,Phase 2,RETA,12/31/2017
Omaveloxolone - REVEAL,Phase 1/2,RETA,12/31/2017
RG-012,Phase 1/2,RGLS,12/31/2017
RGX-501,Phase 1/2,RGNX,12/31/2017
Fostamatinib,Phase 2,RIGL,12/31/2017
Supinoxin,Phase 2a,RNN,12/31/2017
RX-3117,Phase 2,RNN,12/31/2017
Archexin,Phase 2a,RNN,12/31/2017
RT002 - SAKURA 2,Phase 2,RVNC,12/31/2017
RT002,Phase 2,RVNC,12/31/2017
RT002 - SAKURA 1,Phase 3,RVNC,12/31/2017
RXDX-105,Phase 1b,RXDX,12/31/2017
STARTRK-2 entrectinib,Phase 2,RXDX,12/31/2017
RXI-109-1402,Phase 2,RXII,12/31/2017
Samcyprone - RXI-SCP-1502,Phase 2,RXII,12/31/2017
Brexanolone - SAGE-547 (202C),Phase 3,SAGE,12/31/2017
SAGE-217,Phase 2,SAGE,12/31/2017
SAGE-217,Phase 2,SAGE,12/31/2017
SAGE-217,Phase 2,SAGE,12/31/2017
Brexanolone - SAGE-547 (202B),Phase 3,SAGE,12/31/2017
SAGE-217,Phase 2,SAGE,12/31/2017
E2112,Phase 3,SNDX,12/31/2017
Poziotinib,Phase 2,SPPI,12/31/2017
Poziotinib,Phase 2,SPPI,12/31/2017
SL-401,Phase 2,STML,12/31/2017
SL-401,Phase 2,STML,12/31/2017
SL-401,Phase 2,STML,12/31/2017
AIR001,Phase 2,SVRA,12/31/2017
TRC105 and Inlyta,Phase 2,TCON,12/31/2017
TRC105,Phase 2,TCON,12/31/2017
TRC102,Phase 2,TCON,12/31/2017
Niraparib - (QUADRA trial),Phase 2,TSRO,12/31/2017
VK5211,Phase 2,VKTX,12/31/2017
HETLIOZ (tasimelteon),Phase 2,VNDA,12/31/2017
CTP-656,Phase 2,VRTX,12/31/2017
Tezacaftor (VX-661) / ivacaftor,Phase 3,VRTX,12/31/2017
SAN-300,Phase 2,VRX,12/31/2017
Xilonix,Phase 2,XBIT,12/31/2017
ACE-083,Phase 2,XLRN,12/31/2017
XmAb5871,Phase 2,XNCR,12/31/2017
RESOLVE steroid-releasing implant,PDUFA,XENT,01/07/2018
Ubenimex - LIBERTY,Phase 2,EIGR,01/08/2018
ARGX-110,Phase 1/2,ARGX,01/09/2018
Abemaciclib - MONARCH 1 and 2,PDUFA priority review,LLY,01/10/2018
AXS-02 CREATE-1,Phase 3,AXSM,01/15/2018
AXS-02 COAST-1,Phase 3,AXSM,01/15/2018
Trulance (plecanatide),PDUFA,SGYP,01/24/2018
Lutathera,PDUFA,AAAP,01/26/2018
Linhaliq (Pulmaquin),PDUFA priority review,ARDM,01/26/2018
Lubiprostone,PDUFA,SCMP,01/28/2018
Talazoparib,Phase 3,PFE,01/31/2018
Acalabrutinib,PDUFA priority review,AZN,02/01/2018
Feraheme,PDUFA,AMAG,02/02/2018
Andexanet alfa,PDUFA,PTLA,02/02/2018
XGEVA,PDUFA,AMGN,02/03/2018
LPCN 1021,PDUFA,LPCN,02/08/2018
Bictegravir/F/TAF,PDUFA priority review,GILD,02/12/2018
Makena - auto injector,PDUFA,AMAG,02/14/2018
Vitaros,PDUFA,APRI,02/17/2018
KP201/APAP,PDUFA,KMPH,02/23/2018
LJPC-501,PDUFA priority review,LJPC,02/28/2018
MGL-3196,Phase 2,MDGL,02/28/2018
ZTlido (lidocaine patch 1.8%),PDUFA,SRNE,02/28/2018
Tezacaftor (VX-661) / ivacaftor,PDUFA priority review,VRTX,02/28/2018
OTIPRIO,Phase 3,OTIC,03/02/2018
Opdivo -  4 week applications,PDUFA,BMY,03/05/2018
Xeljanz,PDUFA,PFE,03/13/2018
Gencaro - GENETIC-AF trial,Phase 2b,ABIO,03/31/2018
Tozadenant,Phase 3,ACOR,03/31/2018
AR101,Phase 3,AIMT,03/31/2018
Sollpura - RESULT,Phase 3,ANTH,03/31/2018
ARGX-113,Phase 2,ARGX,03/31/2018
APD371,Phase 2,ARNA,03/31/2018
Etrasimod,Phase 2,ARNA,03/31/2018
Nelotanserin,Phase 2,AXON,03/31/2018
AXS-05 STRIDE-1,Phase 3,AXSM,03/31/2018
Brilinta (THEMIS),Phase 3,AZN,03/31/2018
BHV-4157 Trigriluzole,Phase 2/3,BHVN,03/31/2018
